loan_amount,income,credit_score,age,status
116500,1740,758,25-34,1
206500,4980,552,55-64,1
406500,9480,834,35-44,0
456500,11880,587,45-54,0
696500,10440,602,25-34,0
706500,10080,864,35-44,0
346500,5040,860,55-64,0
266500,3780,863,55-64,0
376500,5580,580,55-64,0
436500,6720,788,55-64,0
136500,4020,723,55-64,1
466500,9540,501,35-44,0
206500,3780,884,65-74,1
436500,,520,55-64,0
226500,7860,773,35-44,0
76500,2220,685,45-54,1
356500,5340,846,25-34,1
156500,3120,534,65-74,1
406500,5340,629,45-54,0
586500,12540,688,55-64,0
306500,16860,668,65-74,0
136500,2100,758,>74,0
306500,2880,692,55-64,1
316500,2760,620,65-74,0
336500,4980,846,35-44,0
426500,8940,533,45-54,0
476500,6780,518,45-54,1
196500,3840,812,25-34,0
186500,3840,534,55-64,0
436500,4920,647,35-44,0
246500,5400,683,25-34,0
216500,,705,55-64,0
306500,5580,701,35-44,0
316500,3720,591,45-54,0
506500,7500,647,25-34,0
266500,3540,889,45-54,0
406500,9180,651,55-64,0
656500,9660,716,45-54,0
256500,3780,780,65-74,1
396500,7560,799,35-44,1
396500,9060,766,35-44,0
166500,3480,868,35-44,0
466500,0,765,45-54,1
236500,3120,673,35-44,1
866500,13620,876,35-44,1
416500,7380,886,45-54,0
436500,4920,772,55-64,0
356500,3720,640,55-64,0
386500,,798,45-54,0
596500,6780,858,25-34,0
196500,9060,543,25-34,0
206500,9600,846,65-74,0
136500,3360,555,65-74,1
166500,4560,603,65-74,1
606500,22500,808,35-44,0
86500,3300,519,55-64,1
116500,4140,786,45-54,1
426500,6000,769,45-54,0
166500,6600,685,35-44,0
426500,11340,556,35-44,0
376500,7080,567,65-74,0
286500,4800,632,35-44,0
706500,8520,818,35-44,0
146500,2760,584,<25,0
446500,7140,750,55-64,0
286500,5820,808,55-64,0
166500,2100,838,65-74,1
636500,12000,741,65-74,1
226500,3720,820,25-34,0
316500,5880,665,65-74,0
156500,3300,783,>74,0
706500,8400,663,35-44,0
196500,5520,612,65-74,0
166500,2040,739,65-74,0
486500,8580,812,45-54,0
406500,10740,571,45-54,0
146500,2400,870,35-44,1
306500,12600,793,35-44,0
266500,5040,804,35-44,0
436500,7860,801,35-44,0
446500,5700,711,55-64,0
216500,2580,673,55-64,0
476500,15180,634,45-54,0
466500,8700,834,55-64,0
326500,5400,764,25-34,1
656500,8160,865,25-34,1
506500,9180,593,45-54,1
246500,,511,35-44,0
186500,5640,533,65-74,1
56500,7980,677,65-74,0
486500,9840,774,65-74,0
346500,11460,638,>74,0
136500,3660,644,55-64,0
586500,7140,732,35-44,0
336500,7440,586,55-64,1
76500,2940,642,35-44,0
286500,,872,65-74,1
136500,3000,898,55-64,0
486500,14640,734,45-54,0
416500,3840,639,25-34,0
186500,2880,506,55-64,0
186500,5700,664,65-74,1
316500,7680,670,45-54,0
346500,,577,35-44,1
326500,6840,857,55-64,0
256500,10260,653,55-64,0
226500,3120,595,<25,1
226500,17340,639,55-64,0
906500,12180,787,35-44,0
386500,5520,560,45-54,0
496500,6060,613,25-34,1
106500,5220,514,45-54,1
186500,2640,867,45-54,0
246500,4920,717,55-64,0
126500,4800,872,>74,1
226500,4200,619,45-54,0
416500,,668,45-54,0
146500,8160,640,45-54,0
216500,4440,600,55-64,1
396500,11400,524,55-64,0
246500,3240,883,25-34,0
316500,3300,503,65-74,0
296500,3840,887,45-54,0
436500,,604,65-74,0
226500,6600,644,35-44,1
506500,,648,35-44,0
296500,8400,797,35-44,0
386500,5820,806,25-34,0
106500,6540,845,55-64,0
706500,15240,815,45-54,0
176500,5280,585,45-54,0
496500,8280,729,35-44,0
606500,16740,538,65-74,0
126500,2220,629,65-74,0
156500,3780,791,55-64,0
196500,5580,671,55-64,1
256500,11760,787,45-54,0
1376500,54300,572,55-64,1
376500,4680,755,35-44,0
296500,4140,670,65-74,0
566500,8580,760,45-54,1
416500,10020,578,35-44,0
476500,9000,648,45-54,0
686500,0,836,45-54,1
556500,25680,900,45-54,1
266500,8580,777,55-64,0
406500,7080,765,35-44,0
256500,,534,65-74,0
236500,4920,667,65-74,0
656500,8640,880,35-44,1
156500,3960,820,45-54,0
406500,3600,568,25-34,0
476500,6180,805,>74,0
676500,10080,590,55-64,0
206500,,892,35-44,0
126500,2520,540,55-64,0
366500,10200,869,55-64,0
156500,2520,737,>74,1
276500,7980,831,65-74,0
636500,11640,671,45-54,1
486500,13560,608,65-74,0
266500,,803,65-74,0
356500,4800,795,65-74,0
396500,26100,642,55-64,0
486500,9000,674,35-44,0
716500,14220,804,>74,0
596500,10800,788,45-54,0
636500,19620,737,45-54,0
116500,2640,781,45-54,1
376500,11880,545,45-54,0
356500,6660,796,65-74,0
86500,3240,660,45-54,1
226500,3360,850,25-34,0
66500,840,851,35-44,0
556500,7020,794,55-64,0
376500,,866,35-44,1
106500,1500,777,45-54,1
316500,9180,780,45-54,0
116500,3960,611,45-54,0
86500,4440,584,65-74,0
326500,6480,621,25-34,0
176500,4140,660,<25,0
156500,1860,862,45-54,1
346500,8280,829,45-54,0
616500,9900,848,25-34,0
456500,78120,775,55-64,1
96500,3180,812,55-64,0
256500,3540,733,25-34,0
146500,3120,700,25-34,0
316500,6960,781,35-44,0
76500,3180,633,25-34,1
406500,,702,25-34,0
116500,1980,882,55-64,1
136500,18420,880,25-34,1
206500,2940,686,>74,1
306500,6840,733,45-54,1
166500,1740,652,55-64,0
216500,,524,25-34,0
306500,8280,705,25-34,0
826500,13140,844,45-54,0
136500,2220,642,25-34,0
346500,18240,649,45-54,0
386500,8760,557,35-44,0
706500,15840,866,45-54,1
276500,5880,761,65-74,0
26500,1260,569,55-64,0
276500,,523,55-64,0
186500,2100,740,55-64,0
366500,0,638,45-54,1
666500,18000,506,55-64,0
226500,4320,803,35-44,0
106500,1680,880,45-54,1
426500,,690,35-44,0
216500,4560,616,25-34,0
146500,2460,648,<25,0
676500,9060,660,55-64,0
316500,8220,782,35-44,1
76500,7380,601,55-64,0
446500,7440,809,55-64,0
256500,10800,855,25-34,0
406500,7560,768,45-54,1
196500,7500,627,>74,1
266500,1380,854,55-64,1
196500,4020,700,>74,0
56500,2220,762,55-64,1
546500,10440,746,45-54,1
336500,4800,592,25-34,0
986500,12240,703,45-54,0
566500,7620,613,25-34,0
526500,9660,697,35-44,0
476500,6480,740,45-54,1
186500,4260,545,55-64,0
316500,5280,710,55-64,0
276500,10740,664,35-44,0
606500,,522,35-44,0
476500,8160,789,25-34,0
526500,9960,898,25-34,0
566500,13500,693,35-44,0
236500,5400,571,65-74,0
256500,7320,597,45-54,0
586500,8220,680,65-74,1
316500,5640,571,>74,1
156500,3600,575,45-54,0
436500,6600,694,35-44,0
486500,16080,581,55-64,0
356500,5100,796,35-44,1
266500,2700,678,45-54,1
186500,2280,714,65-74,0
126500,5340,871,45-54,0
276500,4680,800,65-74,1
106500,2460,700,65-74,0
386500,7320,880,35-44,0
376500,6720,853,25-34,0
206500,2760,644,55-64,0
286500,9660,898,35-44,1
486500,5040,717,25-34,0
406500,5580,773,25-34,0
146500,4620,868,45-54,1
156500,5460,540,55-64,0
476500,6600,718,35-44,0
86500,2220,786,45-54,1
246500,2580,713,>74,0
596500,5100,874,65-74,0
556500,8100,647,55-64,0
1226500,16260,711,45-54,0
266500,8880,625,35-44,1
196500,,768,,1
416500,5100,626,25-34,0
206500,2580,500,55-64,1
106500,8100,700,35-44,1
386500,12120,663,45-54,0
246500,3660,538,25-34,0
266500,4260,695,25-34,0
336500,5580,517,35-44,0
126500,3000,815,45-54,1
206500,5220,759,65-74,0
66500,1860,792,<25,1
476500,9180,822,45-54,1
376500,8100,516,45-54,0
256500,6840,704,35-44,0
316500,9000,808,55-64,0
426500,9360,534,25-34,1
216500,4560,786,55-64,0
436500,4620,605,35-44,0
126500,4260,539,55-64,0
96500,4680,522,65-74,0
406500,6960,812,25-34,0
336500,3660,860,25-34,1
426500,4440,876,35-44,0
416500,9120,762,35-44,0
186500,4920,809,25-34,0
606500,12060,595,45-54,0
446500,9180,598,55-64,0
156500,4860,763,35-44,1
256500,2640,515,35-44,0
336500,27000,508,25-34,0
406500,7920,820,55-64,0
266500,3840,529,55-64,1
266500,3840,592,25-34,0
156500,5880,545,45-54,0
186500,3180,830,55-64,1
636500,0,710,45-54,1
286500,4140,551,65-74,1
266500,3480,715,35-44,0
266500,3660,802,35-44,0
226500,4320,871,45-54,0
146500,,557,45-54,0
166500,2100,879,65-74,0
76500,1140,743,55-64,0
336500,7200,572,45-54,1
266500,5460,699,55-64,0
186500,3420,538,65-74,0
506500,6360,617,55-64,0
286500,5040,761,55-64,1
566500,7860,711,25-34,0
366500,6060,640,65-74,0
426500,4800,665,25-34,0
296500,4440,667,35-44,0
676500,7380,834,65-74,0
526500,7200,829,35-44,0
256500,5100,871,35-44,0
266500,8340,661,35-44,0
216500,4980,661,45-54,0
156500,4080,664,65-74,0
726500,9660,896,35-44,1
486500,17640,856,25-34,0
256500,6720,603,55-64,1
396500,5040,627,35-44,1
236500,3240,715,55-64,1
236500,5280,595,65-74,1
1486500,23760,861,35-44,0
156500,4620,851,55-64,0
86500,1620,660,65-74,0
1416500,24060,767,45-54,0
396500,,656,35-44,0
486500,12060,875,35-44,0
216500,3840,778,55-64,1
266500,7200,652,35-44,0
466500,5760,577,35-44,0
156500,3540,869,35-44,0
606500,7440,758,55-64,1
246500,8040,701,45-54,1
316500,5460,775,45-54,0
556500,71220,893,55-64,0
266500,3060,870,65-74,1
306500,7140,785,45-54,0
456500,9300,779,45-54,1
116500,2520,565,55-64,1
206500,5160,792,55-64,1
556500,5820,753,55-64,1
486500,8700,838,45-54,1
186500,,769,25-34,0
266500,3120,851,65-74,1
136500,2640,517,25-34,0
536500,6720,852,25-34,0
186500,8820,587,55-64,0
796500,8880,694,65-74,1
336500,3060,781,55-64,0
196500,1620,729,45-54,1
536500,6000,597,65-74,1
166500,2520,640,>74,0
336500,5100,719,25-34,1
136500,,744,35-44,0
106500,1860,768,35-44,0
176500,4320,770,45-54,0
446500,11400,850,45-54,1
416500,7200,598,35-44,0
96500,4380,818,55-64,0
306500,,614,25-34,0
406500,12000,604,55-64,0
416500,,892,45-54,0
156500,,804,>74,0
126500,3360,737,55-64,0
406500,10860,888,45-54,0
506500,8100,543,35-44,0
516500,6780,547,35-44,0
556500,8760,571,35-44,0
296500,4680,803,25-34,0
246500,3720,639,55-64,0
246500,4320,869,55-64,0
226500,12540,621,55-64,0
156500,5400,715,35-44,0
176500,9360,774,35-44,0
266500,8280,651,45-54,0
216500,5400,728,45-54,0
416500,8460,618,35-44,0
106500,2580,574,65-74,1
456500,6300,505,55-64,0
456500,12420,773,35-44,0
96500,1680,716,55-64,1
126500,5280,798,35-44,0
246500,5940,807,55-64,0
496500,30180,530,45-54,0
156500,10200,729,45-54,1
156500,7440,815,65-74,1
326500,8640,703,35-44,1
86500,1980,668,>74,1
376500,6180,611,45-54,0
206500,3420,814,55-64,1
116500,2520,843,25-34,0
156500,7200,845,65-74,1
266500,11160,635,35-44,1
136500,3780,824,35-44,1
276500,4260,519,25-34,0
86500,3480,559,35-44,0
46500,1320,633,65-74,0
356500,14640,621,55-64,0
456500,6120,837,45-54,0
176500,5760,779,35-44,0
516500,0,847,65-74,1
876500,19800,885,45-54,1
586500,7020,584,25-34,0
206500,2280,630,35-44,1
426500,,589,65-74,0
126500,2940,714,45-54,0
306500,5040,723,25-34,1
246500,5040,654,45-54,0
256500,3720,724,55-64,0
126500,,540,>74,0
386500,6960,856,35-44,0
156500,2580,527,25-34,0
486500,12660,605,45-54,1
406500,4620,738,25-34,0
656500,11220,811,55-64,0
506500,7380,546,25-34,0
196500,4200,569,45-54,0
566500,6360,806,35-44,0
106500,7380,537,65-74,0
516500,,759,55-64,1
66500,3960,734,65-74,0
216500,5880,517,45-54,0
476500,9720,547,45-54,0
96500,2220,594,>74,0
246500,3720,853,55-64,0
86500,2820,538,65-74,0
176500,3240,836,35-44,0
436500,6660,658,55-64,0
336500,3780,670,55-64,0
216500,4740,800,35-44,1
366500,6540,884,25-34,0
226500,,583,45-54,0
126500,2760,633,45-54,0
216500,5760,666,35-44,0
406500,3780,742,45-54,1
206500,3660,640,65-74,0
166500,5460,512,>74,0
146500,7020,508,55-64,0
506500,7500,699,35-44,0
116500,1920,581,25-34,0
366500,9360,723,45-54,0
266500,3540,692,65-74,1
226500,2220,522,65-74,1
266500,6240,830,35-44,0
86500,4860,877,55-64,1
116500,1860,614,35-44,1
196500,8340,706,55-64,0
186500,3600,546,45-54,0
346500,5460,858,25-34,0
506500,9720,727,45-54,0
126500,1740,626,>74,1
506500,,620,65-74,0
306500,1800,580,>74,0
506500,4980,698,45-54,0
356500,0,609,25-34,1
106500,3000,623,45-54,1
496500,12360,544,45-54,1
486500,7920,645,45-54,0
136500,4500,620,45-54,0
186500,2820,657,65-74,0
546500,9120,652,35-44,0
176500,3420,860,65-74,0
456500,6480,712,65-74,0
416500,7500,787,35-44,0
356500,5400,866,65-74,0
526500,10500,513,45-54,1
256500,4440,737,45-54,0
566500,5340,694,25-34,1
196500,2580,501,>74,0
336500,4560,876,>74,0
406500,6000,771,65-74,0
446500,,898,35-44,0
316500,7260,815,25-34,0
286500,5400,736,35-44,0
206500,6000,885,45-54,0
146500,3420,760,55-64,0
446500,6360,514,35-44,0
226500,2820,678,55-64,0
406500,7800,843,35-44,1
446500,4320,597,45-54,1
306500,4260,698,45-54,0
256500,6780,536,45-54,0
206500,3720,875,45-54,0
576500,4680,537,45-54,1
256500,3120,523,45-54,1
556500,10740,822,55-64,0
236500,,703,25-34,0
486500,10980,638,45-54,0
416500,6480,619,55-64,0
276500,,671,65-74,0
126500,8580,580,55-64,0
326500,4260,512,25-34,0
